date,money,shares,price,wealth,macd_signal,bayes_signal,rule_signal,action,g_today,trade_cash,trade_shares
2025-03-17,227879.4429171508,647.5159391872336,213.07135009765625,365846.53828952654,-1,0,-1,-1,0.5,137967.09537237574,-647.5159391872336
2025-03-18,296442.9899256778,323.7579695936168,211.7670440673828,365004.2581397756,-1,0,-1,-1,0.5,68561.26821409783,-323.7579695936168
2025-03-19,310322.60646202177,259.00637567489343,214.3059539794922,365829.2148878005,-1,0,0,-1,0.2,13876.652106444693,-64.75159391872336
2025-03-20,321368.2356296674,207.20510053991475,213.17092895507812,365538.3393959914,-1,0,0,-1,0.2,11042.525941580998,-51.80127513497869
2025-03-21,257097.15944961895,502.9600118672604,217.32281494140625,366401.84503157507,-1,1,1,1,0.2,-64274.289862404745,295.7549113273456
2025-03-24,279207.04856539064,402.3680094938083,219.77212524414062,367636.32114209945,-1,0,0,-1,0.2,22107.318144177203,-100.59200237345209
2025-03-25,297137.6722090759,321.89440759504663,222.77903747558594,368848.99850187433,0,0,-1,-1,0.2,17927.83157319961,-80.47360189876167
2025-03-26,148570.321792899,995.4729600856422,220.56866455078125,368140.4631954023,0,1,1,1,0.5,-148570.321792899,673.5785524905956
2025-03-27,192945.7377222216,796.3783680685137,222.87863159179688,370441.45862664026,0,0,-1,-1,0.2,44373.93022610467,-199.09459201712843
2025-03-28,192947.66717959882,796.3783680685137,216.9544219970703,365725.47571487335,0,1,-1,0,0.2,0.0,0.0
2025-03-31,192949.59665627065,796.3783680685137,221.16607666015625,369081.4758590017,0,1,-1,0,0.2,0.0,0.0
2025-04-01,154361.2209217898,970.0353325098099,222.22146606445312,369923.894646439,0,0,1,1,0.2,-38590.30523044745,173.6569644412962
2025-04-02,154362.76453399903,970.0353325098099,222.91842651367188,370601.51451975235,0,0,0,0,0.2,0.0,0.0
2025-04-03,123491.44652931551,1122.638415831419,202.30824279785156,350610.4517335337,-1,1,1,1,0.2,-30872.861632328877,152.60308332160915
2025-04-04,98794.14515502464,1254.3200274017079,187.56253051757812,334057.5835733669,-1,1,1,1,0.2,-24698.536288756164,131.68161157028882
2025-04-07,79036.10647718096,1363.683764979436,180.6725616455078,325416.3455704063,-1,1,1,1,0.2,-19759.02661929524,109.36373757772822
2025-04-08,79036.89683824574,1363.683764979436,171.67176818847656,313142.9000221845,-1,1,0,0,0.2,0.0,0.0
2025-04-09,214033.58849134555,681.841882489718,197.9871063232422,349029.489775477,-1,-1,-1,-1,0.5,134995.90128413143,-681.841882489718
2025-04-10,171228.5830617844,907.6255195376452,189.59365844726562,343308.6258110267,-1,1,1,1,0.2,-42807.1457654461,225.7836370479272
2025-04-11,260763.073997266,453.8127597688226,197.29013061523438,350295.852646917,-1,-1,-1,-1,0.5,89532.778649651,-453.8127597688226
2025-04-14,279067.1491879169,363.0502078150581,201.64117431640625,352273.0194275605,-1,1,-1,-1,0.2,18301.46755991091,-90.76255195376453
2025-04-15,293683.6402867223,290.4401662520465,201.26280212402344,352138.4419959764,0,0,-1,-1,0.2,14613.700427313524,-72.61004156301162
2025-04-16,146843.28856156257,1049.6067264878986,193.42697143554688,349865.53886449523,0,1,1,1,0.5,-146843.28856156257,759.1665602358522
2025-04-17,146844.7569944482,1049.6067264878986,196.1251983642578,352699.0844313466,0,0,0,0,0.2,0.0,0.0
2025-04-21,146846.22544201816,1049.6067264878986,192.32179260253906,348708.4726078537,0,1,-1,0,0.2,0.0,0.0
2025-04-22,251217.04186507378,524.8033632439493,198.8732452392578,355586.389825875,0,-1,-1,-1,0.5,104369.34796080123,-524.8033632439493
2025-04-23,251219.55403549245,524.8033632439493,203.71214294433594,358128.3717863121,0,1,-1,0,0.2,0.0,0.0
2025-04-24,251222.0662310328,524.8033632439493,207.4657745361328,360100.8024656062,0,1,-1,0,0.2,0.0,0.0
2025-04-25,251224.57845169512,524.8033632439493,208.37181091308594,360578.8056241149,0,0,0,0,0.2,0.0,0.0
2025-04-28,273187.8131923229,419.84269059515947,209.2281036376953,361030.7031716958,0,0,-1,-1,0.2,21960.72249484322,-104.96067264878987
2025-04-29,218552.43605636386,679.6610881117862,210.29345703125,361480.7158850124,0,0,1,1,0.2,-54638.109014090966,259.8183975166267
2025-04-30,218554.62158072443,679.6610881117862,211.57785034179688,362355.85356438276,0,0,0,0,0.2,0.0,0.0
2025-05-01,218556.80712694026,679.6610881117862,212.39430236816406,362912.9497832304,0,0,0,0,0.2,0.0,0.0
2025-05-02,218558.99269501155,679.6610881117862,204.45889282226562,357521.7462647237,0,1,-1,0,0.2,0.0,0.0
2025-05-05,109280.58914246925,1231.5082788487762,198.0269012451172,353152.3574606001,0,1,1,1,0.5,-109280.58914246925,551.8471907369899
2025-05-06,157962.84943103575,985.2066230790209,197.6485595703125,352687.519361736,0,0,-1,-1,0.2,48681.167482675075,-246.30165576975526
2025-05-07,126371.54324762404,1146.8911204151586,195.3983612060547,350472.188658522,0,1,0,1,0.2,-31592.885811906013,161.68449733613767
2025-05-08,239131.12528332905,573.4455602075793,196.63299560546875,351889.44360360154,-1,0,-1,-1,0.5,112758.3183202725,-573.4455602075793
2025-05-09,295809.5705084508,286.72278010378966,197.66847229003906,352485.6244223197,-1,0,-1,-1,0.5,56676.05391386891,-286.72278010378966
