date,money,shares,price,wealth,macd_signal,bayes_signal,rule_signal,action,g,trade_cash,trade_shares
2023-11-28,3.8006160123961257,2007.6100956553266,188.44235229492188,378322.56953233527,1,0,-1,0,0.5,0.0,0.0
2023-11-29,1.900327009278125,2007.6202348996353,187.42294311523438,376275.9934095971,1,0,0,1,0.5,-1.900327009278125,0.010139244308578248
2023-11-30,188715.1849919906,1003.8101174498177,187.9969940185547,377428.46963796864,0,0,-1,-1,0.5,188713.28464597804,-1003.8101174498177
2023-12-01,188717.07214384052,1003.8101174498177,189.27374267578125,378711.97000938305,0,0,0,0,0.5,0.0,0.0
2023-12-04,188718.95931456197,1003.8101174498177,187.48236083984375,376915.64996897464,0,1,-1,0,0.5,0.0,0.0
2023-12-05,94360.42325207757,1496.7305843663153,191.43133544921875,380881.55782501085,0,1,0,1,0.5,-94360.42325207757,492.9204669164975
2023-12-06,94361.3668563101,1496.7305843663153,190.34263610839844,379253.01182865823,0,0,0,0,0.5,0.0,0.0
2023-12-07,47181.15523498933,1742.1173914550423,192.2725830078125,382142.5659928827,0,0,1,1,0.5,-47181.15523498933,245.38680708872698
2023-12-08,23590.81352327084,1863.909251870193,193.69778442382812,384625.90597760223,1,0,0,1,0.5,-23590.81352327084,121.79186041515078
2023-12-11,11795.524715703037,1925.603331600301,191.19378662109375,379958.9172145582,0,1,1,1,0.5,-11795.524715703037,61.69407973010812
2023-12-12,5897.821335475098,1956.208286741708,192.7080535888672,382874.9126878822,0,0,1,1,0.5,-5897.821335475098,30.604955141406798
2023-12-13,2948.9401568442263,1971.2596871393011,195.9246368408203,389167.27847856085,1,1,0,1,0.5,-2948.9401568442263,15.0514003975932
2023-12-14,2948.969646245795,1971.2596871393011,196.07310485839844,389459.97698584374,1,0,-1,0,0.5,0.0,0.0
2023-12-15,2948.999135942258,1971.2596871393011,195.53863525390625,388406.42809020344,1,0,-1,0,0.5,0.0,0.0
2023-12-18,1474.5143129668088,1978.8651409108854,193.87591552734375,385128.8052122108,1,1,1,1,0.5,-1474.5143129668088,7.605453771584368
2023-12-19,1474.5290581099387,1978.8651409108854,194.91513061523438,387185.28646868933,0,0,0,0,0.5,0.0,0.0
2023-12-20,737.27190170026,1982.688632655537,192.8268585205078,383052.89236098854,0,1,0,1,0.5,-737.27190170026,3.8234917446515806
2023-12-21,191747.8914519671,991.3443163277685,192.67837524414062,382758.50362951495,0,0,-1,-1,0.5,191010.61217754782,-991.3443163277685
2023-12-22,286725.29430506297,495.67215816388426,191.60948181152344,381700.7796792443,0,0,-1,-1,0.5,94975.48537418136,-495.67215816388426
2023-12-26,286728.161558006,495.67215816388426,191.0651092529297,381433.816611224,0,0,0,0,0.5,0.0,0.0
2023-12-27,334108.3843326754,247.83607908194213,191.16407775878906,381485.7398257292,0,0,-1,-1,0.5,47377.35549305378,-247.83607908194213
2023-12-28,334111.7254165188,247.83607908194213,191.5896759033203,381594.55948497774,0,0,0,0,0.5,0.0,0.0
