Date,S_J_exact,S_J_normalized,S_J_return,rolling_sharpe_60d,portfolio_return_aux,portfolio_wealth_aux,weight_risky_t,weight_risky_prevday
2000-07-13,12.052493708949102,1.0216542168021372,0.02112397550137859,3.4779147621149247,0.026790823928856913,0.8668531474985297,0.15857344495744363,0.14874979017326956
2000-07-14,12.396974832049342,1.0508548619568223,0.02818089236245583,3.1372750737217374,0.02670256345788554,0.8903121627069073,0.1290891152700027,0.15857344495744363
2000-07-17,12.270874657543548,1.0401657234155035,-0.010223937273742177,2.9307462358322325,-0.00888519073310258,0.882436609039776,0.1339440817695165,0.1290891152700027
2000-07-18,12.412509286406582,1.052171671671314,0.011476237104986993,3.1054675647177246,0.014670296267336309,0.8954776395346017,0.13720704172882284,0.1339440817695165
2000-07-19,12.697912629115557,1.0763644682501288,0.022732842523229446,3.28422405901635,0.030719263112494424,0.9234129317701455,0.15236392313888,0.13720704172882284
2000-07-20,12.670109342444235,1.0740076659356315,-0.0021919957208356273,2.9285971324665,-0.0021113157189623813,0.9214653722122224,0.15423082126153148,0.15236392313888
2000-07-21,12.769935846924563,1.0824696632379174,0.007848021975456787,3.2749960541768157,0.008086368830895646,0.9289468894631905,0.1526370585214367,0.15423082126153148
2000-07-24,12.4998592836039,1.059576072381188,-0.021376259365231843,2.7739962912696052,-0.03178865672296816,0.8998813406229382,0.1463791177365222,0.1526370585214367
2000-07-25,12.454617029321245,1.0557410204009336,-0.0036259870401543506,2.9660501059655386,-0.0043126245026652455,0.8960088466121093,0.14935650255210878,0.1463791177365222
2000-07-26,12.370893009776353,1.048643983083905,-0.006745024519856022,3.03953925978058,-0.012639535861895894,0.884754982297621,0.14791838242409427,0.14935650255210878
2000-07-27,12.620353561145034,1.0697900156300462,0.01996449728602729,3.2465632840199685,0.00262718497825452,0.8870824533062815,0.1517797036299545,0.14791838242409427
2000-07-28,13.084509478692418,1.1091351388773494,0.03611817532120974,3.621576762960789,0.02420279134408365,0.9088142490694496,0.15078172330182193,0.1517797036299545
2000-07-31,12.74885382842752,1.0806826029318655,-0.02598767622647161,3.1729095699151926,-0.01820740805040002,0.8924168274572924,0.15488297087856503,0.15078172330182193
2000-08-01,13.120463460055683,1.1121828514551484,0.028731735837448202,3.827126079089333,0.023586959113961532,0.913716435688974,0.15297271536267384,0.15488297087856503
2000-08-02,13.232153174806449,1.1216504579774251,0.008476606711684778,3.814492564904432,0.001977436363736956,0.9155250394050857,0.14417564798341262,0.15297271536267384
2000-08-03,13.250375089246933,1.123195075728398,0.001376146350868583,3.4439344460805295,0.004031244947278719,0.9192231941699447,0.14415054080834727,0.14417564798341262
2000-08-04,13.29547779788843,1.1270182988377009,0.0033981015591164994,3.2197397947813196,-0.007464913452095355,0.9123868207964282,0.12780043402643174,0.14415054080834727
2000-08-07,13.018715766538802,1.1035580006448775,-0.021035965739936397,2.6857832046436547,-0.005534321574547769,0.9073513256071496,0.13748101358310008,0.12780043402643174
2000-08-08,12.974535015719118,1.099812929171171,-0.0033994050021420893,2.9331984846205796,-0.009774459893252967,0.8985256597911337,0.13342860883704952,0.13748101358310008
2000-08-09,12.959067640048287,1.0985018055183757,-0.0011928444890711308,2.8825130037017876,-0.024775855629457742,0.8765374311195637,0.11531183037931825,0.13342860883704952
2000-08-10,13.117381424625552,1.1119215964344393,0.01214243007628629,3.8152020638491355,0.01574633123552232,0.8904489198637695,0.12234421689103693,0.11531183037931825
2000-08-11,13.737280849716681,1.1644686358215932,0.046175189839398924,4.1902641522867885,0.030215019132293783,0.9177644424276084,0.09725052150718615,0.12234421689103693
