date,signal_source_date,money,shares,price,wealth,macd_signal,bayes_signal,rule_signal,action,g_today,g_reason,trade_cash,trade_shares
2025-07-31,2025-07-30,0.2191278759227716,1318.870960798093,234.11000061035156,308761.1005652924,0,0,0,0,0.0,hold_no_trade,0.0,0.0
2025-08-01,2025-07-31,0.10956503360076543,1318.871470996154,214.75,283227.75796145765,1,0,1,1,0.5,buy_use_aggressive_g,-0.10956503360076543,0.0005101980610047284
2025-08-04,2025-08-01,55827.93732344592,1055.0971767969231,211.64999389648438,279139.2483527126,0,-1,-1,-1,0.2,sell_use_conservative_g,55827.82775731667,-263.7742941992308
2025-08-05,2025-08-04,27914.24780140958,1185.6901489672603,213.75,281355.51714316144,0,1,0,1,0.5,buy_use_aggressive_g,-27914.24780140958,130.59297217033722
2025-08-06,2025-08-05,80632.68176831966,948.5521191738083,222.30999755859375,291505.30106604786,0,0,-1,-1,0.2,sell_use_conservative_g,52718.15482443206,-237.13802979345206
2025-08-07,2025-08-06,122963.57589170814,758.8416953390466,223.1300048828125,292283.9270779913,0,-1,-1,-1,0.2,sell_use_conservative_g,42330.0877965708,-189.71042383476166
2025-08-08,2025-08-07,61482.40276373353,1034.9313360489418,222.69000244140625,291951.26451516023,0,0,1,1,0.5,buy_use_aggressive_g,-61482.40276373353,276.08964070989515
2025-08-11,2025-08-08,107289.07915295928,827.9450688391535,221.3000030517578,290513.32541375177,0,0,-1,-1,0.2,sell_use_conservative_g,45806.06156519812,-206.98626720978837
2025-08-12,2025-08-11,107290.15204375082,827.9450688391535,221.47000122070312,290655.1474502333,0,0,0,0,0.0,hold_no_trade,0.0,0.0
2025-08-13,2025-08-12,107291.22494527126,827.9450688391535,224.55999755859375,293214.5675824413,0,0,0,0,0.0,hold_no_trade,0.0,0.0
2025-08-14,2025-08-13,53646.14892876036,1060.1995926986165,230.97999572753906,298531.04632062546,0,0,1,1,0.5,buy_use_aggressive_g,-53646.14892876036,232.25452385946292
2025-08-15,2025-08-14,26823.342695124826,1176.302881608509,231.02999877929688,298584.5959972221,0,1,0,1,0.5,buy_use_aggressive_g,-26823.342695124826,116.10328890989254
2025-08-18,2025-08-15,13411.805464275889,1234.2397477626375,231.49000549316406,299125.97145373025,1,0,0,1,0.5,buy_use_aggressive_g,-13411.805464275889,57.936866154128374
2025-08-19,2025-08-18,6705.9697911652665,1263.6506067281389,228.00999450683594,294830.9376898081,1,0,0,1,0.5,buy_use_aggressive_g,-6705.9697911652665,29.41085896550125
2025-08-20,2025-08-19,3353.018425431589,1278.6321467040452,223.80999755859375,289523.67605760344,1,1,1,1,0.5,buy_use_aggressive_g,-3353.018425431589,14.981539975906413
2025-08-21,2025-08-20,1676.525977807922,1286.185766892645,221.9499969482422,287145.45301450306,1,1,-1,1,0.5,buy_use_aggressive_g,-1676.525977807922,7.55362018859987
2025-08-22,2025-08-21,60542.69198017968,1028.948613514116,228.83999633789062,296007.2889286276,0,0,-1,-1,0.2,sell_use_conservative_g,58866.14923711198,-257.237153378529
2025-08-25,2025-08-22,30271.648703549745,1161.7539499154407,227.94000244140625,295081.84688358865,0,1,1,1,0.5,buy_use_aggressive_g,-30271.648703549745,132.80533640132475
2025-08-26,2025-08-25,15135.97571001839,1227.9337202171162,228.7100067138672,295976.7051050589,1,0,1,1,0.5,buy_use_aggressive_g,-15135.97571001839,66.17977030167549
2025-08-27,2025-08-26,7568.063534887746,1260.9647244776431,229.1199951171875,296480.295050151,1,0,1,1,0.5,buy_use_aggressive_g,-7568.063534887746,33.031004260527
2025-08-28,2025-08-27,3784.0696077615476,1277.303539279186,231.60000610351562,299607.57710086316,1,0,1,1,0.5,buy_use_aggressive_g,-3784.0696077615476,16.338814801542902
2025-08-29,2025-08-28,1892.0537242288126,1285.5657826164297,229.0,296286.6179433912,1,0,0,1,0.5,buy_use_aggressive_g,-1892.0537242288126,8.262243337243723
2025-09-02,2025-08-29,1892.072644766055,1285.5657826164297,225.33999633789062,291581.4613916698,1,0,-1,0,0.0,hold_no_trade,0.0,0.0
2025-09-03,2025-09-02,946.0457827462513,1289.7520110325129,225.99000549316406,292417.1098408032,0,1,0,1,0.5,buy_use_aggressive_g,-946.0457827462513,4.186228416083065
2025-09-04,2025-09-03,946.0552432040789,1289.7520110325129,235.67999267578125,304914.79975692084,0,0,0,0,0.0,hold_no_trade,0.0,0.0
2025-09-05,2025-09-04,946.064703756511,1289.7520110325129,232.3300018310547,300594.1517885467,1,-1,0,0,0.0,hold_no_trade,0.0,0.0
2025-09-08,2025-09-05,473.0370822017743,1291.7577653131568,235.83999633789062,305121.1837230985,1,1,-1,1,0.5,buy_use_aggressive_g,-473.0370822017743,2.005754280643936
2025-09-09,2025-09-08,236.52090628629819,1292.7505494838786,238.24000549316406,308221.4189166164,1,0,1,1,0.5,buy_use_aggressive_g,-236.52090628629819,0.9927841707218429
2025-09-10,2025-09-09,118.26163574768053,1293.2639938237714,230.3300018310547,297995.75970121403,1,0,0,1,0.5,buy_use_aggressive_g,-118.26163574768053,0.5134443398929183
2025-09-11,2025-09-10,59.131409182019006,1293.5211428125376,229.9499969482422,297504.3142514118,1,1,-1,1,0.5,buy_use_aggressive_g,-59.131409182019006,0.2571489887661467
2025-09-12,2025-09-11,29.566000248055413,1293.6507329989895,228.14999389648438,295175.97283815005,1,0,0,1,0.5,buy_use_aggressive_g,-29.566000248055413,0.1295901864519445
2025-09-15,2025-09-12,29.566295908057896,1293.6507329989895,231.42999267578125,299419.1459588832,0,0,0,0,0.0,hold_no_trade,0.0,0.0
2025-09-16,2025-09-15,29.56659157101698,1293.6507329989895,234.0500030517578,302808.52459789324,0,0,0,0,0.0,hold_no_trade,0.0,0.0
2025-09-17,2025-09-16,59956.64217935134,1034.9205863991915,231.6199951171875,299664.9433478089,0,0,-1,-1,0.2,sell_use_conservative_g,59927.0752921144,-258.73014659979793
2025-09-18,2025-09-17,107818.17830005859,827.9364691193532,231.22999572753906,299261.92451720044,0,0,-1,-1,0.2,sell_use_conservative_g,47860.93655428546,-206.9841172798383
2025-09-19,2025-09-18,53909.6282409208,1060.8275579215774,231.47999572753906,299469.98681626323,0,0,1,1,0.5,buy_use_aggressive_g,-53909.6282409208,232.8910888022243
2025-09-22,2025-09-19,53910.16733720321,1060.8275579215774,227.6300048828125,295386.34952671395,0,0,0,0,0.0,hold_no_trade,0.0,0.0
2025-09-23,2025-09-22,26955.353219438293,1182.9577396055631,220.7100067138672,288045.9638700033,0,1,1,1,0.5,buy_use_aggressive_g,-26955.353219438293,122.13018168398565
2025-09-24,2025-09-23,13477.811386485244,1244.1620944285382,220.2100067138672,287454.7545537327,0,1,1,1,0.5,buy_use_aggressive_g,-13477.811386485244,61.20435482297504
2025-09-25,2025-09-24,67760.73682576368,995.3296755428306,218.14999389648438,284891.89947042195,-1,0,-1,-1,0.2,sell_use_conservative_g,54282.79066116457,-248.83241888570765
2025-09-26,2025-09-25,67761.41443313194,995.3296755428306,219.77999877929688,286514.9693089332,-1,0,1,0,0.0,hold_no_trade,0.0,0.0
2025-09-29,2025-09-26,111988.5704858458,796.2637404342645,222.1699981689453,288894.4842401239,-1,0,0,-1,0.2,sell_use_conservative_g,44226.478438569524,-199.06593510856612
2025-09-30,2025-09-29,111989.69037155068,796.2637404342645,219.57000732421875,286825.32569071196,-1,0,1,0,0.0,hold_no_trade,0.0,0.0
2025-10-01,2025-09-30,111990.8102684544,796.2637404342645,220.6300048828125,287670.4832084727,-1,0,1,0,0.0,hold_no_trade,0.0,0.0
2025-10-02,2025-10-01,111991.93017655709,796.2637404342645,222.41000366210938,289088.95160254673,-1,0,1,0,0.0,hold_no_trade,0.0,0.0
2025-10-03,2025-10-02,146950.61995360247,637.0109923474116,219.50999450683594,286780.8993845769,-1,0,0,-1,0.2,sell_use_conservative_g,34957.569857743605,-159.2527480868529
2025-10-06,2025-10-03,73476.04472990101,969.6322995455118,220.89999389648438,287667.8137813387,-1,1,1,1,0.5,buy_use_aggressive_g,-73476.04472990101,332.6213071981003
2025-10-07,2025-10-06,73476.77949034832,969.6322995455118,221.77999877929688,288521.82969991874,-1,0,1,0,0.0,hold_no_trade,0.0,0.0
2025-10-08,2025-10-07,117153.6317955979,775.7058396364095,225.22000122070312,291858.1019454166,-1,0,0,-1,0.2,sell_use_conservative_g,43676.11753745467,-193.9264599091024
2025-10-09,2025-10-08,152486.65376789094,620.5646717091275,227.74000549316406,293814.0555117912,-1,0,0,-1,0.2,sell_use_conservative_g,35331.85043597507,-155.1411679272819
2025-10-10,2025-10-09,179342.4936319492,496.45173736730203,216.3699951171875,286759.7536220316,0,0,-1,-1,0.2,sell_use_conservative_g,26854.314997520596,-124.11293434182551
2025-10-13,2025-10-10,201195.1145525942,397.1613898938416,220.07000732421875,288598.4245354288,-1,-1,-1,-1,0.2,sell_use_conservative_g,21850.827495708658,-99.29034747346041
