antecedent,consequent,support,confidence,lambda,utility
UDUHD,H,0.0004037141703673799,0.16666666666666666,0.0,0.0004037141703673799
UDUHU,D,0.0010092854259184498,0.2777777777777778,0.0,0.0010092854259184498
UDUHU,U,0.0012111425111021397,0.3333333333333333,0.0,0.0012111425111021397
UDUHU,H,0.0014129995962858296,0.3888888888888889,0.0,0.0014129995962858296
UDUHH,D,0.0008074283407347598,0.5,0.0,0.0008074283407347598
UDUHH,U,0.00020185708518368994,0.125,0.0,0.00020185708518368994
UDUHH,H,0.0006055712555510698,0.375,0.0,0.0006055712555510698
UDHDD,D,0.0012111425111021397,0.5454545454545454,0.0,0.0012111425111021397
UDHDD,U,0.0010092854259184498,0.45454545454545453,0.0,0.0010092854259184498
UDHDD,H,0.0,0.0,0.0,0.0
UDHDU,D,0.0008074283407347598,0.3076923076923077,0.0,0.0008074283407347598
UDHDU,U,0.0008074283407347598,0.3076923076923077,0.0,0.0008074283407347598
UDHDU,H,0.0010092854259184498,0.38461538461538464,0.0,0.0010092854259184498
UDHDH,D,0.0006055712555510698,0.2,0.0,0.0006055712555510698
UDHDH,U,0.0016148566814695195,0.5333333333333333,0.0,0.0016148566814695195
UDHDH,H,0.0008074283407347598,0.26666666666666666,0.0,0.0008074283407347598
UDHUD,D,0.0024222850222042794,0.5217391304347826,0.0,0.0024222850222042794
UDHUD,U,0.0006055712555510698,0.13043478260869565,0.0,0.0006055712555510698
UDHUD,H,0.0016148566814695195,0.34782608695652173,0.0,0.0016148566814695195
UDHUU,D,0.0010092854259184498,0.35714285714285715,0.0,0.0010092854259184498
UDHUU,U,0.0008074283407347598,0.2857142857142857,0.0,0.0008074283407347598
UDHUU,H,0.0010092854259184498,0.35714285714285715,0.0,0.0010092854259184498
UDHUH,D,0.0012111425111021397,0.42857142857142855,0.0,0.0012111425111021397
UDHUH,U,0.0006055712555510698,0.21428571428571427,0.0,0.0006055712555510698
UDHUH,H,0.0010092854259184498,0.35714285714285715,0.0,0.0010092854259184498
UDHHD,D,0.0006055712555510698,0.14285714285714285,0.0,0.0006055712555510698
UDHHD,U,0.0020185708518368995,0.47619047619047616,0.0,0.0020185708518368995
UDHHD,H,0.0016148566814695195,0.38095238095238093,0.0,0.0016148566814695195
UDHHU,D,0.0,0.0,0.0,0.0
UDHHU,U,0.0008074283407347598,0.4,0.0,0.0008074283407347598
UDHHU,H,0.0012111425111021397,0.6,0.0,0.0012111425111021397
UDHHH,D,0.0014129995962858296,0.2916666666666667,0.0,0.0014129995962858296
UDHHH,U,0.0016148566814695195,0.3333333333333333,0.0,0.0016148566814695195
UDHHH,H,0.0018167137666532096,0.375,0.0,0.0018167137666532096
UUDDD,D,0.0018167137666532096,0.3333333333333333,0.0,0.0018167137666532096
UUDDD,U,0.002825999192571659,0.5185185185185185,0.0,0.002825999192571659
