,pJ_h_inf
2008-07-14,0.09161007621453413
2008-07-15,0.09162830425207777
2008-07-16,0.09139785881145321
2008-07-17,0.0917674016089938
2008-07-18,0.09168317438801647
2008-07-21,0.09168206304996156
2008-07-22,0.09199954496174961
2008-07-23,0.0919122502172381
2008-07-24,0.09194485836857992
2008-07-25,0.09195138534398113
2008-07-28,0.09189401298286257
2008-07-29,0.09184271895354677
2008-07-30,0.09184855533580041
2008-07-31,0.09185603354889366
2008-08-01,0.0921201735613542
2008-08-04,0.09216581054701459
2008-08-05,0.09203587768046285
2008-08-06,0.09206746252207111
2008-08-07,0.09212639826239477
2008-08-08,0.09199434274102385
2008-08-11,0.09183370135807808
2008-08-12,0.09183536772352054
2008-08-13,0.09185678181762326
2008-08-14,0.09186501407827741
2008-08-15,0.0918597167444696
2008-08-18,0.0917622680730345
2008-08-19,0.0917510390673998
2008-08-20,0.09174806093398082
2008-08-21,0.09184066018912222
2008-08-22,0.09180875412765285
2008-08-25,0.09175460822205364
2008-08-26,0.09174831239100063
2008-08-27,0.09175409821981205
2008-08-28,0.09183116567899585
2008-08-29,0.09177088496471324
2008-09-02,0.09177388471601176
2008-09-03,0.0917709351095583
2008-09-04,0.0917509083591163
2008-09-05,0.09173753474922941
2008-09-08,0.09175651651361383
2008-09-09,0.09180851628081273
2008-09-10,0.09178153936747652
2008-09-11,0.09169856293090001
2008-09-12,0.09172166997738593
2008-09-15,0.09173376877703536
2008-09-16,0.09172110005117759
2008-09-17,0.09110944370350993
2008-09-18,0.09086841737757108
2008-09-19,0.09097591150325236
2008-09-22,0.09059063856238325
2008-09-23,0.09047367393222053
2008-09-24,0.0904316170331242
2008-09-25,0.09040076611761759
2008-09-26,0.09055188966759951
2008-09-29,0.08985211911367025
2008-09-30,0.08873733222469476
2008-10-01,0.08903066541261222
2008-10-02,0.08896534643495263
2008-10-03,0.08902777912428367
2008-10-06,0.08906799634858505
2008-10-07,0.08835191617776544
2008-10-08,0.08897464511803749
2008-10-09,0.08908330117658433
2008-10-10,0.08951554574967806
2008-10-13,0.09049700386658131
2008-10-14,0.08998198593276205
2008-10-15,0.08990005897392411
2008-10-16,0.08992427395316631
2008-10-17,0.09024169776616148
2008-10-20,0.09029889126500454
2008-10-21,0.0901613387855189
2008-10-22,0.09019217045071228
2008-10-23,0.09085811379559292
2008-10-24,0.0909147646181702
2008-10-27,0.09099284369574043
2008-10-28,0.0904101252520466
2008-10-29,0.09071239816239837
2008-10-30,0.09079553780154044
2008-10-31,0.09085809572967068
2008-11-03,0.09120885182185591
2008-11-04,0.09107911295131894
2008-11-05,0.09030831369282023
2008-11-06,0.09001844919233645
2008-11-07,0.08999300132958032
2008-11-10,0.08997831768862903
2008-11-11,0.089875168639891
2008-11-12,0.08938143565639985
2008-11-13,0.08906205058098136
2008-11-14,0.08872182509710279
2008-11-17,0.08855831337466626
2008-11-18,0.08849585837733175
2008-11-19,0.08818364527181943
